pillar,themes,mg_code,macro_goal,direction,baseline,target_2030,target_2047,sort_order,target_2030_to_baseline_gap,target_2047_to_baseline_gap,status_against_target_2030,status_against_target_2047
Thriving Economy - Earning Well,Services of the Future,SEM2,Contribution to India’s Services exports (%),UP,1.2,3,10,76,0.6,0.88,At Risk (gap ≤ 75%),Critical (gap > 75%)
Key Enablers,Transport and Logistics Infrastructure,TLIM10,Road accident fatalities per 100 km road length,DOWN,3,0.5,0,77,5,299,Critical (gap > 75%),Critical (gap > 75%)
Key Enablers,Transport and Logistics Infrastructure,TLIM4,Share of Cargo handling in India,UP,38.6,40,42,78,0.035,0.080952381,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,Transport and Logistics Infrastructure,TLIM5,Ports with >18m draft,UP,1,2,4,79,0.5,0.75,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Key Enablers,Transport and Logistics Infrastructure,TLIM7,Container dwell time - exports (hours),DOWN,120,70,40,80,0.714285714,2,At Risk (gap ≤ 75%),Critical (gap > 75%)
Key Enablers,Transport and Logistics Infrastructure,TLIM9,Average Vessel Turnaround time (hours),DOWN,70,50,40,81,0.4,0.75,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM12,NITI Aayog Innovation Index Rank (or equivalent),DOWN,14,10,5,82,0.4,1.8,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM13,% age 15-59 population with formal vocational / technical training,UP,3,15,50,83,0.8,0.94,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM14,Vocational gross enrolment ratio (as % of enrolment in higher secondary),UP,0,12.5,50,84,0.9992,0.9998,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM15,Vocational gross enrolment ratio (as % of enrolment-tertiary),UP,0,12.5,50,85,0.9992,0.9998,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM16,Skilled labor force (as % of labor force),UP,10,30,100,86,0.666666667,0.9,At Risk (gap ≤ 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM2,% share of culture & creative industries in GDP,UP,1,2,5,87,0.5,0.8,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM3,% of Museums and libraries digitized,UP,10,100,100,88,0.9,0.9,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM4,Number of performing arts and mega cultural centers,UP,5,33,33,89,0.848484848,0.848484848,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM5,Number of total medals in Summer Olympics,UP,0,1.5,5,90,0.993333333,0.998,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM1,Maternal Mortality Rate (per lakh births),DOWN,57,40,5,91,0.425,10.4,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM10,Gender Parity Index in higher education,UP,0.87,1,1,92,0.13,0.13,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM11,% of women as share of total STEM graduates,UP,10,50,60,93,0.8,0.833333333,Critical (gap > 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,Industries of the Future,INM3,% of power consumption in industries from green sources,UP,32,50,90,94,0.36,0.644444444,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,Services of the Future,SEM3,Number of Universities in top 250 rankings (QS),UP,0,3,10,95,0.996666667,0.999,Critical (gap > 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,Gujarat as Tourism Hub,GTHM2,Contribution of Tourism to State GVA,UP,8,10,12,97,0.2,0.333333333,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,Gujarat as Tourism Hub,GTHM6,Average length of stay for tourists (days),UP,2.2,4,6,99,0.45,0.633333333,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM9,Average post-harvest losses,DOWN,11,9,6,100,0.222222222,0.833333333,On Track (gap ≤ 25%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM14,"Farm mechanization (Farm power availability, kW/ha)",UP,2.6,4.5,7,101,0.422222222,0.628571429,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM16,Share of land under Natural Farming,UP,3,10,25,102,0.7,0.88,At Risk (gap ≤ 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM28,Share of Rural workforce employed in Non-Farm sectors,UP,36,45,60,103,0.2,0.4,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM32,Multi-Dimensional Poverty Index (MPI) Score (for Rural),DOWN,0.075,0.03,0.01,104,1.5,6.5,Critical (gap > 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM37,Households with public transport facility within 500 m (for Rural),UP,86,92,98,105,0.065217391,0.12244898,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM41,MVS metering at village level inlet (Volumetric billing),UP,3,70,100,106,0.957142857,0.97,Critical (gap > 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM42,Capacity of alternate sources and desalination plants,UP,370,777.5,2000,107,0.524115756,0.815,At Risk (gap ≤ 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM43,Institutions completing annual water audit,UP,70,100,100,108,0.3,0.3,Slightly Off Track (gap ≤ 50%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM44,Smart metering: Metering of grid and MVS,UP,70,100,100,109,0.3,0.3,Slightly Off Track (gap ≤ 50%),Slightly Off Track (gap ≤ 50%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM2,Per capita water supply (municipal corporations),UP,135,150,150,110,0.1,0.1,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM3,Percentage of population living in slums - all cities,DOWN,2,0,0,111,199,199,Critical (gap > 75%),Critical (gap > 75%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM5,Percentage of wastewater recycled or reused - all cities,UP,28,46,100,112,0.391304348,0.72,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM6,Major city agglomerations contribution in GSDP,UP,0,6,10,113,0.998333333,0.999,Critical (gap > 75%),Critical (gap > 75%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM7,Number of cities in EIU Global Livability Index (or equivalent),UP,0,0.5,2,114,0.98,0.995,Critical (gap > 75%),Critical (gap > 75%)
Key Enablers,Transport and Logistics Infrastructure,TLIM2,Villages/towns within 50 km from trunk road,UP,95,100,100,115,0.05,0.05,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,Transport and Logistics Infrastructure,TLIM3,Metro line (km) in major cities,UP,40,125,380,116,0.68,0.894736842,At Risk (gap ≤ 75%),Critical (gap > 75%)
Key Enablers,Transport and Logistics Infrastructure,TLIM8,Average freight truck speed (Kmph),UP,50,65,80,118,0.230769231,0.375,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Key Enablers,Transport and Logistics Infrastructure,TLIM11,Modal freight share of rail & coastal,UP,35,37.5,45,119,0.066666667,0.222222222,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,"Governance 2.0: Reform, Perform and Transform",GVM1,Good Governance Index Rank (within group A),DOWN,1,1,1,120,0,0,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,"Governance 2.0: Reform, Perform and Transform",GVM2,SDG Index Performance Rankings,DOWN,10,1,1,121,9,9,Critical (gap > 75%),Critical (gap > 75%)
Key Enablers,"Governance 2.0: Reform, Perform and Transform",GVM3,National E-service delivery ranking (within group A),DOWN,10,5,1,122,1,9,Critical (gap > 75%),Critical (gap > 75%)
